student,question,qDetail,answer
26,8b,How to research things I am curious about.,8
26,8c,Learning about new subjects in school.,NA
26,8d,Learning more about nature.,8
26,9a,Solving problems,1
26,9b,Using science to answer a question,8
26,9c,Listening to other people’s points of view,8
26,9d,Knowing how to do research,8
26,10a,Taught me something that will be useful to me in my future.,0
26,10b,Made me curious about something.,7
26,10c,Really made me think.,6
26,10d,Made me realize something I never imagined before.,6
26,10e,Made me think differently about the choices I make in my life.,8
26,11a,Help to protect the environment.,5
26,11b,Spend more time outside.,6
26,11c,Make a positive difference in my community.,7
26,11d,Listen more to other people's points of view.,8
26,11e,Talk with others about ways to protect the environment.,9
26,11f,Cooperate more with my classmates.,5
26,11g,Work harder in school.,6
26,11h,Pay more attention in class.,8
26,12a,I want to visit this place again.,3
26,12b,Knowing this place exists makes me feel good.,6
26,12c,I care about this place.,8
26,13,Are you a girl or a boy?,Boy
26,14,Which of the following best describes your racial or ethnic background?,Hispanic
27,1a,Your school’s name ,Van Sickle Academy
27,1b,Your grade level,6
27,2,How would you rate this field trip on a scale from 0 to 10? ,5
27,3a,Write three words or short phrases below that best describe how the program made you feel.,cool
27,3b,Write three words or short phrases below that best describe how the program made you feel.,scared
27,3c,Write three words or short phrases below that best describe how the program made you feel.,excited
27,4a,"As a result of this field trip, do you intend to do anything differently in your life",yes
27,4b,"If yes, what will you do?",put the birds in a different place and not a bag because that scared me
27,5,"How much do you feel you learned from this field trip, on a scale from 0 to 10?",7
27,6a,I believe in myself.,5
27,6b,I feel it is important to take good care of the environment.,10
27,6c,"Humans are a part of nature, not separate from it.",5
27,6d,I have the power to protect the environment.,7
27,6e,I  feel  confident  that  I  can  achieve  my  goals.  ,6
27,6f,I can make a difference in my community.,2
27,7a,How different parts of the environment interact with each other.,5
27,7b,How people can change the environment.,9
27,7c,How changes in the environment can impact my life.,4
27,7d,How my actions affect the environment.,6
27,8a,Science.,5
27,8b,How to research things I am curious about.,10
27,8c,Learning about new subjects in school.,1
27,8d,Learning more about nature.,9
27,9a,Solving problems,4
27,9b,Using science to answer a question,1
27,9c,Listening to other people’s points of view,2
27,9d,Knowing how to do research,5
27,10a,Taught me something that will be useful to me in my future.,5
27,10b,Made me curious about something.,6
27,10c,Really made me think.,2
27,10d,Made me realize something I never imagined before.,7
27,10e,Made me think differently about the choices I make in my life.,3
27,11a,Help to protect the environment.,5
27,11b,Spend more time outside.,4
27,11c,Make a positive difference in my community.,2
27,11d,Listen more to other people's points of view.,3
27,11e,Talk with others about ways to protect the environment.,NA
27,11f,Cooperate more with my classmates.,NA
27,11g,Work harder in school.,6
27,11h,Pay more attention in class.,8
27,12a,I want to visit this place again.,1
27,12b,Knowing this place exists makes me feel good.,4
27,12c,I care about this place.,1
27,13,Are you a girl or a boy?,Rather not say
27,14,Which of the following best describes your racial or ethnic background?,Hispanic & Mixed (two or more races)
28,1a,Your school’s name ,Van Sickle Academy
28,1b,Your grade level,6
28,2,How would you rate this field trip on a scale from 0 to 10? ,5
28,3a,Write three words or short phrases below that best describe how the program made you feel.,fun
28,3b,Write three words or short phrases below that best describe how the program made you feel.,interested
28,3c,Write three words or short phrases below that best describe how the program made you feel.,learned alot
28,4a,"As a result of this field trip, do you intend to do anything differently in your life",no
28,4b,"If yes, what will you do?",NA
28,5,"How much do you feel you learned from this field trip, on a scale from 0 to 10?",10
28,6a,I believe in myself.,10
28,6b,I feel it is important to take good care of the environment.,5
28,6c,"Humans are a part of nature, not separate from it.",5
28,6d,I have the power to protect the environment.,5
28,6e,I  feel  confident  that  I  can  achieve  my  goals.  ,10
28,6f,I can make a difference in my community.,5
28,7a,How different parts of the environment interact with each other.,8
28,7b,How people can change the environment.,5
28,7c,How changes in the environment can impact my life.,9
28,7d,How my actions affect the environment.,5
28,8a,Science.,9
28,8b,How to research things I am curious about.,9
28,8c,Learning about new subjects in school.,9
28,8d,Learning more about nature.,5
28,9a,Solving problems,5
28,9b,Using science to answer a question,5
28,9c,Listening to other people’s points of view,9
28,9d,Knowing how to do research,5
28,10a,Taught me something that will be useful to me in my future.,5
28,10b,Made me curious about something.,9
28,10c,Really made me think.,5
28,10d,Made me realize something I never imagined before.,5
28,10e,Made me think differently about the choices I make in my life.,5
28,11a,Help to protect the environment.,5
28,11b,Spend more time outside.,0
28,11c,Make a positive difference in my community.,0
28,11d,Listen more to other people's points of view.,9
28,11e,Talk with others about ways to protect the environment.,5
28,11f,Cooperate more with my classmates.,9
28,11g,Work harder in school.,5
28,11h,Pay more attention in class.,5
28,12a,I want to visit this place again.,1
28,12b,Knowing this place exists makes me feel good.,5
28,12c,I care about this place.,2
28,13,Are you a girl or a boy?,Boy
28,14,Which of the following best describes your racial or ethnic background?,Hispanic
29,1a,Your school’s name ,Van Sickle Academy
29,1b,Your grade level,6
29,2,How would you rate this field trip on a scale from 0 to 10? ,7
29,3a,Write three words or short phrases below that best describe how the program made you feel.,funny 
29,3b,Write three words or short phrases below that best describe how the program made you feel.,happy
29,3c,Write three words or short phrases below that best describe how the program made you feel.,safe
29,4a,"As a result of this field trip, do you intend to do anything differently in your life",no
29,4b,"If yes, what will you do?",NA
29,5,"How much do you feel you learned from this field trip, on a scale from 0 to 10?",8
29,6a,I believe in myself.,10
29,6b,I feel it is important to take good care of the environment.,8
29,6c,"Humans are a part of nature, not separate from it.",10
29,6d,I have the power to protect the environment.,8
29,6e,I  feel  confident  that  I  can  achieve  my  goals.  ,10
29,6f,I can make a difference in my community.,9
29,7a,How different parts of the environment interact with each other.,7
29,7b,How people can change the environment.,3
29,7c,How changes in the environment can impact my life.,10
29,7d,How my actions affect the environment.,10
29,8a,Science.,7
29,8b,How to research things I am curious about.,9
29,8c,Learning about new subjects in school.,10
29,8d,Learning more about nature.,8
29,9a,Solving problems,7
29,9b,Using science to answer a question,7
29,9c,Listening to other people’s points of view,10
29,9d,Knowing how to do research,8
29,10a,Taught me something that will be useful to me in my future.,4
29,10b,Made me curious about something.,9
29,10c,Really made me think.,7
29,10d,Made me realize something I never imagined before.,8
29,10e,Made me think differently about the choices I make in my life.,9
29,11a,Help to protect the environment.,10
29,11b,Spend more time outside.,10
29,11c,Make a positive difference in my community.,10
29,11d,Listen more to other people's points of view.,10
29,11e,Talk with others about ways to protect the environment.,10
29,11f,Cooperate more with my classmates.,10
29,11g,Work harder in school.,10
29,11h,Pay more attention in class.,10
29,12a,I want to visit this place again.,8
29,12b,Knowing this place exists makes me feel good.,9
29,12c,I care about this place.,10
29,13,Are you a girl or a boy?,Girl
29,14,Which of the following best describes your racial or ethnic background?,Hispanic
30,1a,Your school’s name ,Van Sickle Academy
30,1b,Your grade level,6
30,2,How would you rate this field trip on a scale from 0 to 10? ,9
30,3a,Write three words or short phrases below that best describe how the program made you feel.,happy
30,3b,Write three words or short phrases below that best describe how the program made you feel.,cool
30,3c,Write three words or short phrases below that best describe how the program made you feel.,more inteligent
30,4a,"As a result of this field trip, do you intend to do anything differently in your life",no
30,4b,"If yes, what will you do?",be more carefull with my envirement
30,5,"How much do you feel you learned from this field trip, on a scale from 0 to 10?",10
30,6a,I believe in myself.,10
30,6b,I feel it is important to take good care of the environment.,10
30,6c,"Humans are a part of nature, not separate from it.",10
30,6d,I have the power to protect the environment.,10
30,6e,I  feel  confident  that  I  can  achieve  my  goals.  ,10
30,6f,I can make a difference in my community.,8
30,7a,How different parts of the environment interact with each other.,10
30,7b,How people can change the environment.,10
30,7c,How changes in the environment can impact my life.,10
30,7d,How my actions affect the environment.,10
30,8a,Science.,7
30,8b,How to research things I am curious about.,9
30,8c,Learning about new subjects in school.,NA
30,8d,Learning more about nature.,8
30,9a,Solving problems,5
30,9b,Using science to answer a question,4
30,9c,Listening to other people’s points of view,10
30,9d,Knowing how to do research,9
30,10a,Taught me something that will be useful to me in my future.,10
30,10b,Made me curious about something.,5
30,10c,Really made me think.,10
30,10d,Made me realize something I never imagined before.,8
30,10e,Made me think differently about the choices I make in my life.,9
30,11a,Help to protect the environment.,8
30,11b,Spend more time outside.,10
30,11c,Make a positive difference in my community.,10
30,11d,Listen more to other people's points of view.,10
30,11e,Talk with others about ways to protect the environment.,10
30,11f,Cooperate more with my classmates.,10
30,11g,Work harder in school.,7
30,11h,Pay more attention in class.,10
30,12a,I want to visit this place again.,10
30,12b,Knowing this place exists makes me feel good.,10
30,12c,I care about this place.,10
30,13,Are you a girl or a boy?,Boy
30,14,Which of the following best describes your racial or ethnic background?,Mixed (two or more races)
31,1a,Your school’s name ,Van Sickle Academy
31,1b,Your grade level,6
31,2,How would you rate this field trip on a scale from 0 to 10? ,10
31,3a,Write three words or short phrases below that best describe how the program made you feel.,good
31,3b,Write three words or short phrases below that best describe how the program made you feel.,happy
31,3c,Write three words or short phrases below that best describe how the program made you feel.,awesome
31,4a,"As a result of this field trip, do you intend to do anything differently in your life",yes
31,4b,"If yes, what will you do?",to work and safe environment and safe animals
31,5,"How much do you feel you learned from this field trip, on a scale from 0 to 10?",7
31,6a,I believe in myself.,10
31,6b,I feel it is important to take good care of the environment.,5
31,6c,"Humans are a part of nature, not separate from it.",10
31,6d,I have the power to protect the environment.,10
31,6e,I  feel  confident  that  I  can  achieve  my  goals.  ,9
31,6f,I can make a difference in my community.,10
31,7a,How different parts of the environment interact with each other.,10
31,7b,How people can change the environment.,10
31,7c,How changes in the environment can impact my life.,10
31,7d,How my actions affect the environment.,10
31,8a,Science.,10
31,8b,How to research things I am curious about.,9
31,8c,Learning about new subjects in school.,10
31,8d,Learning more about nature.,10
31,9a,Solving problems,6
31,9b,Using science to answer a question,10
31,9c,Listening to other people’s points of view,10
31,9d,Knowing how to do research,10
31,10a,Taught me something that will be useful to me in my future.,10
31,10b,Made me curious about something.,10
31,10c,Really made me think.,10
31,10d,Made me realize something I never imagined before.,10
31,10e,Made me think differently about the choices I make in my life.,10
31,11a,Help to protect the environment.,10
31,11b,Spend more time outside.,10
31,11c,Make a positive difference in my community.,10
31,11d,Listen more to other people's points of view.,10
31,11e,Talk with others about ways to protect the environment.,10
31,11f,Cooperate more with my classmates.,10
31,11g,Work harder in school.,10
31,11h,Pay more attention in class.,10
31,12a,I want to visit this place again.,10
31,12b,Knowing this place exists makes me feel good.,10
31,12c,I care about this place.,10
31,13,Are you a girl or a boy?,Boy
31,14,Which of the following best describes your racial or ethnic background?,Hispanic
32,1a,Your school’s name ,Van Sickle Academy
32,1b,Your grade level,NA
32,2,How would you rate this field trip on a scale from 0 to 10? ,5
32,3a,Write three words or short phrases below that best describe how the program made you feel.,funny
32,3b,Write three words or short phrases below that best describe how the program made you feel.,happy
32,3c,Write three words or short phrases below that best describe how the program made you feel.,safe
32,4a,"As a result of this field trip, do you intend to do anything differently in your life",yes
32,4b,"If yes, what will you do?",be more careful with birds
32,5,"How much do you feel you learned from this field trip, on a scale from 0 to 10?",5
32,6a,I believe in myself.,10
32,6b,I feel it is important to take good care of the environment.,10
32,6c,"Humans are a part of nature, not separate from it.",10
32,6d,I have the power to protect the environment.,10
32,6e,I  feel  confident  that  I  can  achieve  my  goals.  ,10
32,6f,I can make a difference in my community.,10
32,7a,How different parts of the environment interact with each other.,10
32,7b,How people can change the environment.,10
32,7c,How changes in the environment can impact my life.,10
32,7d,How my actions affect the environment.,10
32,8a,Science.,10
32,8b,How to research things I am curious about.,10
32,8c,Learning about new subjects in school.,10
32,8d,Learning more about nature.,10
32,9a,Solving problems,10
32,9b,Using science to answer a question,10
32,9c,Listening to other people’s points of view,10
32,9d,Knowing how to do research,10
32,10a,Taught me something that will be useful to me in my future.,10
32,10b,Made me curious about something.,10
32,10c,Really made me think.,10
32,10d,Made me realize something I never imagined before.,10
32,10e,Made me think differently about the choices I make in my life.,10
32,11a,Help to protect the environment.,10
32,11b,Spend more time outside.,10
32,11c,Make a positive difference in my community.,10
32,11d,Listen more to other people's points of view.,10
32,11e,Talk with others about ways to protect the environment.,10
32,11f,Cooperate more with my classmates.,10
32,11g,Work harder in school.,10
32,11h,Pay more attention in class.,10
32,12a,I want to visit this place again.,10
32,12b,Knowing this place exists makes me feel good.,10
32,12c,I care about this place.,10
32,13,Are you a girl or a boy?,Boy
32,14,Which of the following best describes your racial or ethnic background?,Hispanic
33,1a,Your school’s name ,Van Sickle Academy
33,1b,Your grade level,NA
33,2,How would you rate this field trip on a scale from 0 to 10? ,10
33,3a,Write three words or short phrases below that best describe how the program made you feel.,happy
33,3b,Write three words or short phrases below that best describe how the program made you feel.,cool
33,3c,Write three words or short phrases below that best describe how the program made you feel.,more inteligent
33,4a,"As a result of this field trip, do you intend to do anything differently in your life",NA
33,4b,"If yes, what will you do?",Be more careful with my environment
33,5,"How much do you feel you learned from this field trip, on a scale from 0 to 10?",10
33,6a,I believe in myself.,10
33,6b,I feel it is important to take good care of the environment.,10
33,6c,"Humans are a part of nature, not separate from it.",10
33,6d,I have the power to protect the environment.,10
33,6e,I  feel  confident  that  I  can  achieve  my  goals.  ,10
33,6f,I can make a difference in my community.,10
33,7a,How different parts of the environment interact with each other.,10
33,7b,How people can change the environment.,10
33,7c,How changes in the environment can impact my life.,10
33,7d,How my actions affect the environment.,10
33,8a,Science.,9
33,8b,How to research things I am curious about.,8
33,8c,Learning about new subjects in school.,10
33,8d,Learning more about nature.,10
33,9a,Solving problems,8
33,9b,Using science to answer a question,3
33,9c,Listening to other people’s points of view,10
33,9d,Knowing how to do research,4
33,10a,Taught me something that will be useful to me in my future.,8
33,10b,Made me curious about something.,8
33,10c,Really made me think.,10
33,10d,Made me realize something I never imagined before.,10
33,10e,Made me think differently about the choices I make in my life.,6
33,11a,Help to protect the environment.,10
33,11b,Spend more time outside.,10
33,11c,Make a positive difference in my community.,10
33,11d,Listen more to other people's points of view.,10
33,11e,Talk with others about ways to protect the environment.,10
33,11f,Cooperate more with my classmates.,10
33,11g,Work harder in school.,10
33,11h,Pay more attention in class.,10
33,12a,I want to visit this place again.,10
33,12b,Knowing this place exists makes me feel good.,10
33,12c,I care about this place.,10
33,13,Are you a girl or a boy?,Boy
33,14,Which of the following best describes your racial or ethnic background?,Hispanic
34,1a,Your school’s name ,Van Sickle Academy
34,1b,Your grade level,7
34,2,How would you rate this field trip on a scale from 0 to 10? ,3
34,3a,Write three words or short phrases below that best describe how the program made you feel.,bored
34,3b,Write three words or short phrases below that best describe how the program made you feel.,scared
34,3c,Write three words or short phrases below that best describe how the program made you feel.,informed
34,4a,"As a result of this field trip, do you intend to do anything differently in your life",no
34,4b,"If yes, what will you do?",NA
34,5,"How much do you feel you learned from this field trip, on a scale from 0 to 10?",5
34,6a,I believe in myself.,10
34,6b,I feel it is important to take good care of the environment.,9
34,6c,"Humans are a part of nature, not separate from it.",9
34,6d,I have the power to protect the environment.,9
34,6e,I  feel  confident  that  I  can  achieve  my  goals.  ,10
34,6f,I can make a difference in my community.,10
34,7a,How different parts of the environment interact with each other.,7
34,7b,How people can change the environment.,8
34,7c,How changes in the environment can impact my life.,6
34,7d,How my actions affect the environment.,8
34,8a,Science.,6
34,8b,How to research things I am curious about.,7
34,8c,Learning about new subjects in school.,8
34,8d,Learning more about nature.,5
34,9a,Solving problems,6
34,9b,Using science to answer a question,5
34,9c,Listening to other people’s points of view,6
34,9d,Knowing how to do research,8
34,10a,Taught me something that will be useful to me in my future.,2
34,10b,Made me curious about something.,1
34,10c,Really made me think.,0
34,10d,Made me realize something I never imagined before.,3
34,10e,Made me think differently about the choices I make in my life.,0
34,11a,Help to protect the environment.,5
34,11b,Spend more time outside.,2
34,11c,Make a positive difference in my community.,3
34,11d,Listen more to other people's points of view.,3
34,11e,Talk with others about ways to protect the environment.,0
34,11f,Cooperate more with my classmates.,1
34,11g,Work harder in school.,10
34,11h,Pay more attention in class.,10
34,12a,I want to visit this place again.,0
34,12b,Knowing this place exists makes me feel good.,0
34,12c,I care about this place.,0
34,13,Are you a girl or a boy?,Girl
34,14,Which of the following best describes your racial or ethnic background?,"Black, not of Hispanic descent"
35,1a,Your school’s name ,Van Sickle Academy
35,1b,Your grade level,7
35,2,How would you rate this field trip on a scale from 0 to 10? ,8
35,3a,Write three words or short phrases below that best describe how the program made you feel.,interested
35,3b,Write three words or short phrases below that best describe how the program made you feel.,educated
35,3c,Write three words or short phrases below that best describe how the program made you feel.,informed
35,4a,"As a result of this field trip, do you intend to do anything differently in your life",no
35,4b,"If yes, what will you do?",NA
35,5,"How much do you feel you learned from this field trip, on a scale from 0 to 10?",10
35,6a,I believe in myself.,10
35,6b,I feel it is important to take good care of the environment.,10
35,6c,"Humans are a part of nature, not separate from it.",10
35,6d,I have the power to protect the environment.,10
35,6e,I  feel  confident  that  I  can  achieve  my  goals.  ,10
35,6f,I can make a difference in my community.,10
35,7a,How different parts of the environment interact with each other.,10
35,7b,How people can change the environment.,10
35,7c,How changes in the environment can impact my life.,10
35,7d,How my actions affect the environment.,10
35,8a,Science.,10
35,8b,How to research things I am curious about.,10
35,8c,Learning about new subjects in school.,10
35,8d,Learning more about nature.,10
35,9a,Solving problems,10
35,9b,Using science to answer a question,10
35,9c,Listening to other people’s points of view,10
35,9d,Knowing how to do research,10
35,10a,Taught me something that will be useful to me in my future.,10
35,10b,Made me curious about something.,10
35,10c,Really made me think.,10
35,10d,Made me realize something I never imagined before.,10
35,10e,Made me think differently about the choices I make in my life.,10
35,11a,Help to protect the environment.,8
35,11b,Spend more time outside.,8
35,11c,Make a positive difference in my community.,8
35,11d,Listen more to other people's points of view.,8
35,11e,Talk with others about ways to protect the environment.,8
35,11f,Cooperate more with my classmates.,8
35,11g,Work harder in school.,8
35,11h,Pay more attention in class.,8
35,12a,I want to visit this place again.,5
35,12b,Knowing this place exists makes me feel good.,5
35,12c,I care about this place.,5
35,13,Are you a girl or a boy?,Boy
35,14,Which of the following best describes your racial or ethnic background?,Hispanic
36,1a,Your school’s name ,Van Sickle Academy
36,1b,Your grade level,7
36,2,How would you rate this field trip on a scale from 0 to 10? ,5
36,3a,Write three words or short phrases below that best describe how the program made you feel.,bored
36,3b,Write three words or short phrases below that best describe how the program made you feel.,interested
36,3c,Write three words or short phrases below that best describe how the program made you feel.,tired
36,4a,"As a result of this field trip, do you intend to do anything differently in your life",no
36,4b,"If yes, what will you do?",NA
36,5,"How much do you feel you learned from this field trip, on a scale from 0 to 10?",6
36,6a,I believe in myself.,5
36,6b,I feel it is important to take good care of the environment.,7
36,6c,"Humans are a part of nature, not separate from it.",5
36,6d,I have the power to protect the environment.,5
36,6e,I  feel  confident  that  I  can  achieve  my  goals.  ,7
36,6f,I can make a difference in my community.,6
36,7a,How different parts of the environment interact with each other.,7
36,7b,How people can change the environment.,7
36,7c,How changes in the environment can impact my life.,7
36,7d,How my actions affect the environment.,7
36,8a,Science.,6
36,8b,How to research things I am curious about.,5
36,8c,Learning about new subjects in school.,6
36,8d,Learning more about nature.,6
36,9a,Solving problems,4
36,9b,Using science to answer a question,4
36,9c,Listening to other people’s points of view,6
36,9d,Knowing how to do research,3
36,10a,Taught me something that will be useful to me in my future.,6
36,10b,Made me curious about something.,5
36,10c,Really made me think.,5
36,10d,Made me realize something I never imagined before.,4
36,10e,Made me think differently about the choices I make in my life.,5
36,11a,Help to protect the environment.,5
36,11b,Spend more time outside.,5
36,11c,Make a positive difference in my community.,5
36,11d,Listen more to other people's points of view.,6
36,11e,Talk with others about ways to protect the environment.,4
36,11f,Cooperate more with my classmates.,4
36,11g,Work harder in school.,6
36,11h,Pay more attention in class.,6
36,12a,I want to visit this place again.,3
36,12b,Knowing this place exists makes me feel good.,0
36,12c,I care about this place.,3
36,13,Are you a girl or a boy?,Girl
36,14,Which of the following best describes your racial or ethnic background?,"White, not of Hispanic descent"
37,1a,Your school’s name ,Van Sickle Academy
37,1b,Your grade level,7
37,2,How would you rate this field trip on a scale from 0 to 10? ,5
37,3a,Write three words or short phrases below that best describe how the program made you feel.,interesting 
37,3b,Write three words or short phrases below that best describe how the program made you feel.,funny
37,3c,Write three words or short phrases below that best describe how the program made you feel.,NA
37,4a,"As a result of this field trip, do you intend to do anything differently in your life",no
37,4b,"If yes, what will you do?",NA
37,5,"How much do you feel you learned from this field trip, on a scale from 0 to 10?",8
37,6a,I believe in myself.,7
37,6b,I feel it is important to take good care of the environment.,10
37,6c,"Humans are a part of nature, not separate from it.",10
37,6d,I have the power to protect the environment.,6
37,6e,I  feel  confident  that  I  can  achieve  my  goals.  ,8
37,6f,I can make a difference in my community.,5
37,7a,How different parts of the environment interact with each other.,10
37,7b,How people can change the environment.,9
37,7c,How changes in the environment can impact my life.,8
37,7d,How my actions affect the environment.,10
37,8a,Science.,10
37,8b,How to research things I am curious about.,4
37,8c,Learning about new subjects in school.,0
37,8d,Learning more about nature.,6
37,9a,Solving problems,0
37,9b,Using science to answer a question,3
37,9c,Listening to other people’s points of view,7
37,9d,Knowing how to do research,9
37,10a,Taught me something that will be useful to me in my future.,10
37,10b,Made me curious about something.,6
37,10c,Really made me think.,8
37,10d,Made me realize something I never imagined before.,6
37,10e,Made me think differently about the choices I make in my life.,9
37,11a,Help to protect the environment.,7
37,11b,Spend more time outside.,10
37,11c,Make a positive difference in my community.,5
37,11d,Listen more to other people's points of view.,7
37,11e,Talk with others about ways to protect the environment.,4
37,11f,Cooperate more with my classmates.,0
37,11g,Work harder in school.,10
37,11h,Pay more attention in class.,10
37,12a,I want to visit this place again.,6
37,12b,Knowing this place exists makes me feel good.,8
37,12c,I care about this place.,9
37,13,Are you a girl or a boy?,Girl
37,14,Which of the following best describes your racial or ethnic background?,Mixed (two or more races)
38,1a,Your school’s name ,Van Sickle Academy
38,1b,Your grade level,7
38,2,How would you rate this field trip on a scale from 0 to 10? ,7
38,3a,Write three words or short phrases below that best describe how the program made you feel.,educated
38,3b,Write three words or short phrases below that best describe how the program made you feel.,intrested
38,3c,Write three words or short phrases below that best describe how the program made you feel.,welcomed
38,4a,"As a result of this field trip, do you intend to do anything differently in your life",no
38,4b,"If yes, what will you do?",everything they told me to do I already do
38,5,"How much do you feel you learned from this field trip, on a scale from 0 to 10?",1
38,6a,I believe in myself.,10
38,6b,I feel it is important to take good care of the environment.,10
38,6c,"Humans are a part of nature, not separate from it.",10
38,6d,I have the power to protect the environment.,10
38,6e,I  feel  confident  that  I  can  achieve  my  goals.  ,10
38,6f,I can make a difference in my community.,10
38,7a,How different parts of the environment interact with each other.,5
38,7b,How people can change the environment.,8
38,7c,How changes in the environment can impact my life.,8
38,7d,How my actions affect the environment.,8
38,8a,Science.,10
38,8b,How to research things I am curious about.,5
38,8c,Learning about new subjects in school.,5
38,8d,Learning more about nature.,4
38,9a,Solving problems,10
38,9b,Using science to answer a question,10
38,9c,Listening to other people’s points of view,10
38,9d,Knowing how to do research,10
38,10a,Taught me something that will be useful to me in my future.,10
38,10b,Made me curious about something.,1
38,10c,Really made me think.,0
38,10d,Made me realize something I never imagined before.,5
38,10e,Made me think differently about the choices I make in my life.,0
38,11a,Help to protect the environment.,10
38,11b,Spend more time outside.,10
38,11c,Make a positive difference in my community.,10
38,11d,Listen more to other people's points of view.,10
38,11e,Talk with others about ways to protect the environment.,8
38,11f,Cooperate more with my classmates.,10
38,11g,Work harder in school.,10
38,11h,Pay more attention in class.,10
38,12a,I want to visit this place again.,5
38,12b,Knowing this place exists makes me feel good.,0
38,12c,I care about this place.,5
38,13,Are you a girl or a boy?,Girl
38,14,Which of the following best describes your racial or ethnic background?,Hispanic
39,1a,Your school’s name ,Van Sickle Academy
39,1b,Your grade level,7
39,2,How would you rate this field trip on a scale from 0 to 10? ,7
39,3a,Write three words or short phrases below that best describe how the program made you feel.,itersting
39,3b,Write three words or short phrases below that best describe how the program made you feel.,educated
39,3c,Write three words or short phrases below that best describe how the program made you feel.,excitable
39,4a,"As a result of this field trip, do you intend to do anything differently in your life",yes
39,4b,"If yes, what will you do?",not pollute and use everything I learned and knew
39,5,"How much do you feel you learned from this field trip, on a scale from 0 to 10?",3
39,6a,I believe in myself.,10
39,6b,I feel it is important to take good care of the environment.,10
39,6c,"Humans are a part of nature, not separate from it.",10
39,6d,I have the power to protect the environment.,10
39,6e,I  feel  confident  that  I  can  achieve  my  goals.  ,10
39,6f,I can make a difference in my community.,10
39,7a,How different parts of the environment interact with each other.,8
39,7b,How people can change the environment.,10
39,7c,How changes in the environment can impact my life.,10
39,7d,How my actions affect the environment.,7
39,8a,Science.,8
39,8b,How to research things I am curious about.,3
39,8c,Learning about new subjects in school.,5
39,8d,Learning more about nature.,5
39,9a,Solving problems,10
39,9b,Using science to answer a question,6
39,9c,Listening to other people’s points of view,10
39,9d,Knowing how to do research,10
39,10a,Taught me something that will be useful to me in my future.,10
39,10b,Made me curious about something.,1
39,10c,Really made me think.,3
39,10d,Made me realize something I never imagined before.,3
39,10e,Made me think differently about the choices I make in my life.,0
39,11a,Help to protect the environment.,10
39,11b,Spend more time outside.,10
39,11c,Make a positive difference in my community.,10
39,11d,Listen more to other people's points of view.,10
39,11e,Talk with others about ways to protect the environment.,9
39,11f,Cooperate more with my classmates.,10
39,11g,Work harder in school.,10
39,11h,Pay more attention in class.,10
39,12a,I want to visit this place again.,0
39,12b,Knowing this place exists makes me feel good.,6
39,12c,I care about this place.,0
39,13,Are you a girl or a boy?,Girl
39,14,Which of the following best describes your racial or ethnic background?,Hispanic
40,1a,Your school’s name ,Van Sickle Academy
40,1b,Your grade level,7
40,2,How would you rate this field trip on a scale from 0 to 10? ,6
40,3a,Write three words or short phrases below that best describe how the program made you feel.,helpful
40,3b,Write three words or short phrases below that best describe how the program made you feel.,detective
40,3c,Write three words or short phrases below that best describe how the program made you feel.,happy
40,4a,"As a result of this field trip, do you intend to do anything differently in your life",no
40,4b,"If yes, what will you do?",NA
40,5,"How much do you feel you learned from this field trip, on a scale from 0 to 10?",10
40,6a,I believe in myself.,10
40,6b,I feel it is important to take good care of the environment.,9
40,6c,"Humans are a part of nature, not separate from it.",10
40,6d,I have the power to protect the environment.,10
40,6e,I  feel  confident  that  I  can  achieve  my  goals.  ,10
40,6f,I can make a difference in my community.,9
40,7a,How different parts of the environment interact with each other.,10
40,7b,How people can change the environment.,8
40,7c,How changes in the environment can impact my life.,9
40,7d,How my actions affect the environment.,8
40,8a,Science.,10
40,8b,How to research things I am curious about.,9
40,8c,Learning about new subjects in school.,10
40,8d,Learning more about nature.,8
40,9a,Solving problems,8
40,9b,Using science to answer a question,10
40,9c,Listening to other people’s points of view,10
40,9d,Knowing how to do research,9
40,10a,Taught me something that will be useful to me in my future.,9
40,10b,Made me curious about something.,9
40,10c,Really made me think.,9
40,10d,Made me realize something I never imagined before.,9
40,10e,Made me think differently about the choices I make in my life.,10
40,11a,Help to protect the environment.,10
40,11b,Spend more time outside.,9
40,11c,Make a positive difference in my community.,9
40,11d,Listen more to other people's points of view.,10
40,11e,Talk with others about ways to protect the environment.,9
40,11f,Cooperate more with my classmates.,9
40,11g,Work harder in school.,10
40,11h,Pay more attention in class.,10
40,12a,I want to visit this place again.,8
40,12b,Knowing this place exists makes me feel good.,9
40,12c,I care about this place.,10
40,13,Are you a girl or a boy?,Girl
40,14,Which of the following best describes your racial or ethnic background?,"White, not of Hispanic descent"
41,1a,Your school’s name ,Van Sickle Academy
41,1b,Your grade level,NA
41,2,How would you rate this field trip on a scale from 0 to 10? ,4
41,3a,Write three words or short phrases below that best describe how the program made you feel.,boring
41,3b,Write three words or short phrases below that best describe how the program made you feel.,interesting
41,3c,Write three words or short phrases below that best describe how the program made you feel.,energizing
41,4a,"As a result of this field trip, do you intend to do anything differently in your life",no
41,4b,"If yes, what will you do?",NA
41,5,"How much do you feel you learned from this field trip, on a scale from 0 to 10?",5
41,6a,I believe in myself.,6
41,6b,I feel it is important to take good care of the environment.,10
41,6c,"Humans are a part of nature, not separate from it.",10
41,6d,I have the power to protect the environment.,9
