student,question,qDetail,answer
39,5d,Listen more to other people's points of view.,9
39,5e,Talk with others about ways to protect the environment.,9
39,5f,Cooperate more with my classmates.,10
39,5g,Work harder in school.,10
39,5h,Pay more attention in class.,10
39,6,Are you a girl or a boy?,Boy
39,7,Which of the following best describes your racial or ethnic background?,Hispanic
40,1a,Your school’s name ,John J. Duggan Academy
40,1b,Your grade level,8
40,2a,I believe in myself.,5
40,2b,I feel it is important to take good care of the environment.,10
40,2c,"Humans are a part of nature, not separate from it.",10
40,2d,I have the power to protect the environment.,10
40,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,7
40,2f,I can make a difference in my community.,7
40,3a,Science.,5
40,3b,How to research things I am curious about.,10
40,3c,Learning about new subjects in school.,10
40,3d,Learning more about nature.,8
40,4a,Solving problems,7
40,4b,Using science to answer a question,5
40,4c,Listening to other people’s points of view,7
40,4d,Knowing how to do research,10
40,5a,Help to protect the environment.,5
40,5b,Spend more time outside.,8
40,5c,Make a positive difference in my community.,5
40,5d,Listen more to other people's points of view.,10
40,5e,Talk with others about ways to protect the environment.,5
40,5f,Cooperate more with my classmates.,10
40,5g,Work harder in school.,10
40,5h,Pay more attention in class.,10
40,6,Are you a girl or a boy?,Girl
40,7,Which of the following best describes your racial or ethnic background?,"White, not of Hispanic descent"
41,1a,Your school’s name ,John J. Duggan Academy
41,1b,Your grade level,8
41,2a,I believe in myself.,5
41,2b,I feel it is important to take good care of the environment.,7
41,2c,"Humans are a part of nature, not separate from it.",7
41,2d,I have the power to protect the environment.,7
41,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,5
41,2f,I can make a difference in my community.,6
41,3a,Science.,8
41,3b,How to research things I am curious about.,7
41,3c,Learning about new subjects in school.,7
41,3d,Learning more about nature.,7
41,4a,Solving problems,9
41,4b,Using science to answer a question,8
41,4c,Listening to other people’s points of view,7
41,4d,Knowing how to do research,7
41,5a,Help to protect the environment.,6
41,5b,Spend more time outside.,8
41,5c,Make a positive difference in my community.,7
41,5d,Listen more to other people's points of view.,6
41,5e,Talk with others about ways to protect the environment.,5
41,5f,Cooperate more with my classmates.,8
41,5g,Work harder in school.,9
41,5h,Pay more attention in class.,9
41,6,Are you a girl or a boy?,Girl
41,7,Which of the following best describes your racial or ethnic background?,Mixed (two or more races)
42,1a,Your school’s name ,John J. Duggan Academy
42,1b,Your grade level,8
42,2a,I believe in myself.,10
42,2b,I feel it is important to take good care of the environment.,10
42,2c,"Humans are a part of nature, not separate from it.",8
42,2d,I have the power to protect the environment.,10
42,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,10
42,2f,I can make a difference in my community.,10
42,3a,Science.,5
42,3b,How to research things I am curious about.,5
42,3c,Learning about new subjects in school.,8
42,3d,Learning more about nature.,8
42,4a,Solving problems,7
42,4b,Using science to answer a question,5
42,4c,Listening to other people’s points of view,10
42,4d,Knowing how to do research,5
42,5a,Help to protect the environment.,9
42,5b,Spend more time outside.,9
42,5c,Make a positive difference in my community.,9
42,5d,Listen more to other people's points of view.,9
42,5e,Talk with others about ways to protect the environment.,5
42,5f,Cooperate more with my classmates.,9
42,5g,Work harder in school.,9
42,5h,Pay more attention in class.,10
42,6,Are you a girl or a boy?,Boy
42,7,Which of the following best describes your racial or ethnic background?,Hispanic
43,1a,Your school’s name ,John J. Duggan Academy
43,1b,Your grade level,8
43,2a,I believe in myself.,10
43,2b,I feel it is important to take good care of the environment.,10
43,2c,"Humans are a part of nature, not separate from it.",10
43,2d,I have the power to protect the environment.,2
43,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,9
43,2f,I can make a difference in my community.,5
43,3a,Science.,7
43,3b,How to research things I am curious about.,10
43,3c,Learning about new subjects in school.,5
43,3d,Learning more about nature.,7
43,4a,Solving problems,8
43,4b,Using science to answer a question,3
43,4c,Listening to other people’s points of view,10
43,4d,Knowing how to do research,10
43,5a,Help to protect the environment.,5
43,5b,Spend more time outside.,10
43,5c,Make a positive difference in my community.,7
43,5d,Listen more to other people's points of view.,10
43,5e,Talk with others about ways to protect the environment.,7
43,5f,Cooperate more with my classmates.,4
43,5g,Work harder in school.,10
43,5h,Pay more attention in class.,10
43,6,Are you a girl or a boy?,Girl
43,7,Which of the following best describes your racial or ethnic background?,"Black, not of Hispanic descent"
44,1a,Your school’s name ,John J. Duggan Academy
44,1b,Your grade level,8
44,2a,I believe in myself.,10
44,2b,I feel it is important to take good care of the environment.,10
44,2c,"Humans are a part of nature, not separate from it.",10
44,2d,I have the power to protect the environment.,9
44,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,10
44,2f,I can make a difference in my community.,10
44,3a,Science.,10
44,3b,How to research things I am curious about.,9
44,3c,Learning about new subjects in school.,10
44,3d,Learning more about nature.,10
44,4a,Solving problems,9
44,4b,Using science to answer a question,10
44,4c,Listening to other people’s points of view,10
44,4d,Knowing how to do research,10
44,5a,Help to protect the environment.,9
44,5b,Spend more time outside.,10
44,5c,Make a positive difference in my community.,10
44,5d,Listen more to other people's points of view.,10
44,5e,Talk with others about ways to protect the environment.,10
44,5f,Cooperate more with my classmates.,10
44,5g,Work harder in school.,10
44,5h,Pay more attention in class.,10
44,6,Are you a girl or a boy?,Girl
44,7,Which of the following best describes your racial or ethnic background?,"Black, not of Hispanic descent"
45,1a,Your school’s name ,John J. Duggan Academy
45,1b,Your grade level,8
45,2a,I believe in myself.,2
45,2b,I feel it is important to take good care of the environment.,5
45,2c,"Humans are a part of nature, not separate from it.",8
45,2d,I have the power to protect the environment.,5
45,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,2
45,2f,I can make a difference in my community.,1
45,3a,Science.,5
45,3b,How to research things I am curious about.,5
45,3c,Learning about new subjects in school.,5
45,3d,Learning more about nature.,5
45,4a,Solving problems,4
45,4b,Using science to answer a question,5
45,4c,Listening to other people’s points of view,5
45,4d,Knowing how to do research,7
45,5a,Help to protect the environment.,3
45,5b,Spend more time outside.,5
45,5c,Make a positive difference in my community.,2
45,5d,Listen more to other people's points of view.,na
45,5e,Talk with others about ways to protect the environment.,2
45,5f,Cooperate more with my classmates.,5
45,5g,Work harder in school.,5
45,5h,Pay more attention in class.,5
45,6,Are you a girl or a boy?,Boy
45,7,Which of the following best describes your racial or ethnic background?,Other: Jamaican
46,1a,Your school’s name ,John J. Duggan Academy
46,1b,Your grade level,8
46,2a,I believe in myself.,7
46,2b,I feel it is important to take good care of the environment.,10
46,2c,"Humans are a part of nature, not separate from it.",9
46,2d,I have the power to protect the environment.,9
46,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,8
46,2f,I can make a difference in my community.,6
46,3a,Science.,5
46,3b,How to research things I am curious about.,7
46,3c,Learning about new subjects in school.,8
46,3d,Learning more about nature.,10
46,4a,Solving problems,10
46,4b,Using science to answer a question,6
46,4c,Listening to other people’s points of view,5
46,4d,Knowing how to do research,8
46,5a,Help to protect the environment.,8
46,5b,Spend more time outside.,5
46,5c,Make a positive difference in my community.,7
46,5d,Listen more to other people's points of view.,7
46,5e,Talk with others about ways to protect the environment.,8
46,5f,Cooperate more with my classmates.,7
46,5g,Work harder in school.,9
46,5h,Pay more attention in class.,9
46,6,Are you a girl or a boy?,Boy
46,7,Which of the following best describes your racial or ethnic background?,Mixed (two or more races)
47,1a,Your school’s name ,John J. Duggan Academy
47,1b,Your grade level,8
47,2a,I believe in myself.,10
47,2b,I feel it is important to take good care of the environment.,10
47,2c,"Humans are a part of nature, not separate from it.",9
47,2d,I have the power to protect the environment.,10
47,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,10
47,2f,I can make a difference in my community.,9
47,3a,Science.,9
47,3b,How to research things I am curious about.,7
47,3c,Learning about new subjects in school.,8
47,3d,Learning more about nature.,8
47,4a,Solving problems,8
47,4b,Using science to answer a question,8
47,4c,Listening to other people’s points of view,9
47,4d,Knowing how to do research,7
47,5a,Help to protect the environment.,8
47,5b,Spend more time outside.,8
47,5c,Make a positive difference in my community.,8
47,5d,Listen more to other people's points of view.,9
47,5e,Talk with others about ways to protect the environment.,8
47,5f,Cooperate more with my classmates.,8
47,5g,Work harder in school.,9
47,5h,Pay more attention in class.,9
47,6,Are you a girl or a boy?,Boy
47,7,Which of the following best describes your racial or ethnic background?,Mixed (two or more races)
48,1a,Your school’s name ,John J. Duggan Academy
48,1b,Your grade level,8
48,2a,I believe in myself.,10
48,2b,I feel it is important to take good care of the environment.,8
48,2c,"Humans are a part of nature, not separate from it.",7
48,2d,I have the power to protect the environment.,6
48,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,8
48,2f,I can make a difference in my community.,9
48,3a,Science.,2
48,3b,How to research things I am curious about.,7
48,3c,Learning about new subjects in school.,na
48,3d,Learning more about nature.,10
48,4a,Solving problems,8
48,4b,Using science to answer a question,4
48,4c,Listening to other people’s points of view,9
48,4d,Knowing how to do research,6
48,5a,Help to protect the environment.,6
48,5b,Spend more time outside.,7
48,5c,Make a positive difference in my community.,5
48,5d,Listen more to other people's points of view.,8
48,5e,Talk with others about ways to protect the environment.,5
48,5f,Cooperate more with my classmates.,7
48,5g,Work harder in school.,6
48,5h,Pay more attention in class.,7
48,6,Are you a girl or a boy?,Girl
48,7,Which of the following best describes your racial or ethnic background?,"Black, not of Hispanic descent"
49,1a,Your school’s name ,John J. Duggan Academy
49,1b,Your grade level,8
49,2a,I believe in myself.,10
49,2b,I feel it is important to take good care of the environment.,6
49,2c,"Humans are a part of nature, not separate from it.",5
49,2d,I have the power to protect the environment.,5
49,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,9
49,2f,I can make a difference in my community.,5
49,3a,Science.,7
49,3b,How to research things I am curious about.,6
49,3c,Learning about new subjects in school.,6
49,3d,Learning more about nature.,5
49,4a,Solving problems,10
49,4b,Using science to answer a question,10
49,4c,Listening to other people’s points of view,8
49,4d,Knowing how to do research,7
49,5a,Help to protect the environment.,1
49,5b,Spend more time outside.,7
49,5c,Make a positive difference in my community.,1
49,5d,Listen more to other people's points of view.,4
49,5e,Talk with others about ways to protect the environment.,0
49,5f,Cooperate more with my classmates.,7
49,5g,Work harder in school.,9
49,5h,Pay more attention in class.,9
49,6,Are you a girl or a boy?,Boy
49,7,Which of the following best describes your racial or ethnic background?,Mixed (two or more races)
50,1a,Your school’s name ,John J. Duggan Academy
50,1b,Your grade level,8
50,2a,I believe in myself.,10
50,2b,I feel it is important to take good care of the environment.,3
50,2c,"Humans are a part of nature, not separate from it.",1
50,2d,I have the power to protect the environment.,7
50,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,10
50,2f,I can make a difference in my community.,2
50,3a,Science.,10
50,3b,How to research things I am curious about.,8
50,3c,Learning about new subjects in school.,5
50,3d,Learning more about nature.,0
50,4a,Solving problems,6
50,4b,Using science to answer a question,1
50,4c,Listening to other people’s points of view,3
50,4d,Knowing how to do research,6
50,5a,Help to protect the environment.,1
50,5b,Spend more time outside.,0
50,5c,Make a positive difference in my community.,7
50,5d,Listen more to other people's points of view.,9
50,5e,Talk with others about ways to protect the environment.,3
50,5f,Cooperate more with my classmates.,8
50,5g,Work harder in school.,10
50,5h,Pay more attention in class.,8
50,6,Are you a girl or a boy?,Girl
50,7,Which of the following best describes your racial or ethnic background?,"Black, not of Hispanic descent"
51,1a,Your school’s name , John J. Duggan Academy
51,1b,Your grade level,8
51,2a,I believe in myself.,8
51,2b,I feel it is important to take good care of the environment.,7
51,2c,"Humans are a part of nature, not separate from it.",7
51,2d,I have the power to protect the environment.,4
51,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,7
51,2f,I can make a difference in my community.,7
51,3a,Science.,7
51,3b,How to research things I am curious about.,7
51,3c,Learning about new subjects in school.,6
51,3d,Learning more about nature.,6
51,4a,Solving problems,8
51,4b,Using science to answer a question,7
51,4c,Listening to other people’s points of view,9
51,4d,Knowing how to do research,6
51,5a,Help to protect the environment.,6
51,5b,Spend more time outside.,10
51,5c,Make a positive difference in my community.,5
51,5d,Listen more to other people's points of view.,7
51,5e,Talk with others about ways to protect the environment.,6
51,5f,Cooperate more with my classmates.,6
51,5g,Work harder in school.,7
51,5h,Pay more attention in class.,6
51,6,Are you a girl or a boy?,Boy
51,7,Which of the following best describes your racial or ethnic background?,"White, not of Hispanic descent"
52,1a,Your school’s name ,John J. Duggan Academy
52,1b,Your grade level,8
52,2a,I believe in myself.,4
52,2b,I feel it is important to take good care of the environment.,6
52,2c,"Humans are a part of nature, not separate from it.",6
52,2d,I have the power to protect the environment.,6
52,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,5
52,2f,I can make a difference in my community.,6
52,3a,Science.,5
52,3b,How to research things I am curious about.,6
52,3c,Learning about new subjects in school.,5
52,3d,Learning more about nature.,5
52,4a,Solving problems,4
52,4b,Using science to answer a question,4
52,4c,Listening to other people’s points of view,5
52,4d,Knowing how to do research,5
52,5a,Help to protect the environment.,5
52,5b,Spend more time outside.,5
52,5c,Make a positive difference in my community.,6
52,5d,Listen more to other people's points of view.,7
52,5e,Talk with others about ways to protect the environment.,7
52,5f,Cooperate more with my classmates.,1
52,5g,Work harder in school.,5
52,5h,Pay more attention in class.,5
52,6,Are you a girl or a boy?,Girl
52,7,Which of the following best describes your racial or ethnic background?,"White, not of Hispanic descent"
53,1a,Your school’s name ,John J. Duggan Academy
53,1b,Your grade level,8
53,2a,I believe in myself.,4
53,2b,I feel it is important to take good care of the environment.,2
53,2c,"Humans are a part of nature, not separate from it.",na
53,2d,I have the power to protect the environment.,6
53,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,10
53,2f,I can make a difference in my community.,4
53,3a,Science.,2
53,3b,How to research things I am curious about.,3
53,3c,Learning about new subjects in school.,na
53,3d,Learning more about nature.,2
53,4a,Solving problems,7
53,4b,Using science to answer a question,na
53,4c,Listening to other people’s points of view,3
53,4d,Knowing how to do research,10
53,5a,Help to protect the environment.,3
53,5b,Spend more time outside.,2
53,5c,Make a positive difference in my community.,4
53,5d,Listen more to other people's points of view.,2
53,5e,Talk with others about ways to protect the environment.,na
53,5f,Cooperate more with my classmates.,na
53,5g,Work harder in school.,na
53,5h,Pay more attention in class.,5
53,6,Are you a girl or a boy?,Girl
53,7,Which of the following best describes your racial or ethnic background?,"Black, not of Hispanic descent"
54,1a,Your school’s name ,John J. Duggan Academy
54,1b,Your grade level,8
54,2a,I believe in myself.,1
54,2b,I feel it is important to take good care of the environment.,10
54,2c,"Humans are a part of nature, not separate from it.",7
54,2d,I have the power to protect the environment.,9
54,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,1
54,2f,I can make a difference in my community.,6
54,3a,Science.,na
54,3b,How to research things I am curious about.,8
54,3c,Learning about new subjects in school.,9
54,3d,Learning more about nature.,9
54,4a,Solving problems,6
54,4b,Using science to answer a question,2
54,4c,Listening to other people’s points of view,8
54,4d,Knowing how to do research,8
54,5a,Help to protect the environment.,8
54,5b,Spend more time outside.,7
54,5c,Make a positive difference in my community.,7
54,5d,Listen more to other people's points of view.,7
54,5e,Talk with others about ways to protect the environment.,6
54,5f,Cooperate more with my classmates.,5
54,5g,Work harder in school.,8
54,5h,Pay more attention in class.,9
54,6,Are you a girl or a boy?,Girl
54,7,Which of the following best describes your racial or ethnic background?,mixed (two or more races)
55,1a,Your school’s name ,John J. Duggan Academy
55,1b,Your grade level,8
55,2a,I believe in myself.,5
55,2b,I feel it is important to take good care of the environment.,10
55,2c,"Humans are a part of nature, not separate from it.",5
55,2d,I have the power to protect the environment.,10
55,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,5
55,2f,I can make a difference in my community.,10
55,3a,Science.,5
55,3b,How to research things I am curious about.,5
55,3c,Learning about new subjects in school.,5
55,3d,Learning more about nature.,7
55,4a,Solving problems,2
55,4b,Using science to answer a question,2
55,4c,Listening to other people’s points of view,3
55,4d,Knowing how to do research,6
55,5a,Help to protect the environment.,5
55,5b,Spend more time outside.,0
55,5c,Make a positive difference in my community.,5
55,5d,Listen more to other people's points of view.,2
55,5e,Talk with others about ways to protect the environment.,2
55,5f,Cooperate more with my classmates.,3
55,5g,Work harder in school.,1
55,5h,Pay more attention in class.,10
55,6,Are you a girl or a boy?,Boy
55,7,Which of the following best describes your racial or ethnic background?,Mixed (two or more races)
56,1a,Your school’s name ,John J. Duggan Academy
56,1b,Your grade level,8
56,2a,I believe in myself.,0
56,2b,I feel it is important to take good care of the environment.,10
56,2c,"Humans are a part of nature, not separate from it.",8
56,2d,I have the power to protect the environment.,9
56,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,0
56,2f,I can make a difference in my community.,5
56,3a,Science.,8
56,3b,How to research things I am curious about.,7
56,3c,Learning about new subjects in school.,9
56,3d,Learning more about nature.,9
56,4a,Solving problems,8
56,4b,Using science to answer a question,8
56,4c,Listening to other people’s points of view,9
56,4d,Knowing how to do research,7
56,5a,Help to protect the environment.,7
56,5b,Spend more time outside.,10
56,5c,Make a positive difference in my community.,8
56,5d,Listen more to other people's points of view.,10
56,5e,Talk with others about ways to protect the environment.,7
56,5f,Cooperate more with my classmates.,9
56,5g,Work harder in school.,9
56,5h,Pay more attention in class.,8
56,6,Are you a girl or a boy?,Girl
56,7,Which of the following best describes your racial or ethnic background?,Hispanic
57,1a,Your school’s name ,John J. Duggan Academy
57,1b,Your grade level,8
57,2a,I believe in myself.,5
57,2b,I feel it is important to take good care of the environment.,9
57,2c,"Humans are a part of nature, not separate from it.",6
57,2d,I have the power to protect the environment.,6
57,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,5
57,2f,I can make a difference in my community.,4
57,3a,Science.,7
57,3b,How to research things I am curious about.,8
57,3c,Learning about new subjects in school.,6
57,3d,Learning more about nature.,7
57,4a,Solving problems,8
57,4b,Using science to answer a question,5
57,4c,Listening to other people’s points of view,9
57,4d,Knowing how to do research,5
57,5a,Help to protect the environment.,6
57,5b,Spend more time outside.,7
57,5c,Make a positive difference in my community.,5
57,5d,Listen more to other people's points of view.,8
57,5e,Talk with others about ways to protect the environment.,6
57,5f,Cooperate more with my classmates.,5
57,5g,Work harder in school.,8
57,5h,Pay more attention in class.,7
57,6,Are you a girl or a boy?,Girl
57,7,Which of the following best describes your racial or ethnic background?,"Black, not of Hispanic descent"
58,1a,Your school’s name ,John J. Duggan Academy
58,1b,Your grade level,8
58,2a,I believe in myself.,8
58,2b,I feel it is important to take good care of the environment.,9
58,2c,"Humans are a part of nature, not separate from it.",10
58,2d,I have the power to protect the environment.,7
58,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,9
58,2f,I can make a difference in my community.,7
58,3a,Science.,8
58,3b,How to research things I am curious about.,9
58,3c,Learning about new subjects in school.,8
58,3d,Learning more about nature.,9
58,4a,Solving problems,9
58,4b,Using science to answer a question,8
58,4c,Listening to other people’s points of view,9
58,4d,Knowing how to do research,9
58,5a,Help to protect the environment.,7
58,5b,Spend more time outside.,8
58,5c,Make a positive difference in my community.,8
58,5d,Listen more to other people's points of view.,9
58,5e,Talk with others about ways to protect the environment.,8
58,5f,Cooperate more with my classmates.,8
58,5g,Work harder in school.,8
58,5h,Pay more attention in class.,8
58,6,Are you a girl or a boy?,Boy
58,7,Which of the following best describes your racial or ethnic background?,"Black, not of Hispanic descent"
59,1a,Your school’s name ,John J. Duggan Academy
59,1b,Your grade level,8
59,2a,I believe in myself.,10
59,2b,I feel it is important to take good care of the environment.,10
59,2c,"Humans are a part of nature, not separate from it.",9
59,2d,I have the power to protect the environment.,10
59,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,10
59,2f,I can make a difference in my community.,10
59,3a,Science.,7
59,3b,How to research things I am curious about.,7
59,3c,Learning about new subjects in school.,7
59,3d,Learning more about nature.,7
59,4a,Solving problems,10
59,4b,Using science to answer a question,7
59,4c,Listening to other people’s points of view,10
59,4d,Knowing how to do research,8
59,5a,Help to protect the environment.,10
59,5b,Spend more time outside.,10
59,5c,Make a positive difference in my community.,10
59,5d,Listen more to other people's points of view.,10
59,5e,Talk with others about ways to protect the environment.,10
59,5f,Cooperate more with my classmates.,10
59,5g,Work harder in school.,10
59,5h,Pay more attention in class.,10
59,6,Are you a girl or a boy?,Boy
59,7,Which of the following best describes your racial or ethnic background?,Asian
60,1a,Your school’s name ,John J. Duggan Academy
60,1b,Your grade level,8
60,2a,I believe in myself.,10
60,2b,I feel it is important to take good care of the environment.,10
60,2c,"Humans are a part of nature, not separate from it.",8
60,2d,I have the power to protect the environment.,6
60,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,10
60,2f,I can make a difference in my community.,8
60,3a,Science.,7
60,3b,How to research things I am curious about.,6
60,3c,Learning about new subjects in school.,8
60,3d,Learning more about nature.,7
60,4a,Solving problems,8
60,4b,Using science to answer a question,6
60,4c,Listening to other people’s points of view,7
60,4d,Knowing how to do research,7
60,5a,Help to protect the environment.,6
60,5b,Spend more time outside.,3
60,5c,Make a positive difference in my community.,7
60,5d,Listen more to other people's points of view.,9
60,5e,Talk with others about ways to protect the environment.,4
60,5f,Cooperate more with my classmates.,7
60,5g,Work harder in school.,8
60,5h,Pay more attention in class.,7
60,6,Are you a girl or a boy?,Boy
60,7,Which of the following best describes your racial or ethnic background?,Mixed (two or more races)
61,1a,Your school’s name ,Van Sickle Academy
61,1b,Your grade level,6
61,2a,I believe in myself.,10
61,2b,I feel it is important to take good care of the environment.,10
61,2c,"Humans are a part of nature, not separate from it.",10
61,2d,I have the power to protect the environment.,10
61,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,10
61,2f,I can make a difference in my community.,5
61,3a,Science.,8
61,3b,How to research things I am curious about.,10
61,3c,Learning about new subjects in school.,7
61,3d,Learning more about nature.,10
61,4a,Solving problems,8
61,4b,Using science to answer a question,9
61,4c,Listening to other people’s points of view,5
61,4d,Knowing how to do research,6
61,5a,Help to protect the environment.,8
61,5b,Spend more time outside.,6
61,5c,Make a positive difference in my community.,8
61,5d,Listen more to other people's points of view.,6
61,5e,Talk with others about ways to protect the environment.,9
61,5f,Cooperate more with my classmates.,6
61,5g,Work harder in school.,10
61,5h,Pay more attention in class.,10
61,6,Are you a girl or a boy?,Boy
61,7,Which of the following best describes your racial or ethnic background?,mixed (two or more races)
62,1a,Your school’s name ,Van Sickle Academy
62,1b,Your grade level,6
62,2a,I believe in myself.,10
62,2b,I feel it is important to take good care of the environment.,10
62,2c,"Humans are a part of nature, not separate from it.",10
62,2d,I have the power to protect the environment.,0
62,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,10
62,2f,I can make a difference in my community.,5
62,3a,Science.,10
62,3b,How to research things I am curious about.,10
62,3c,Learning about new subjects in school.,7
62,3d,Learning more about nature.,5
62,4a,Solving problems,8
62,4b,Using science to answer a question,9
62,4c,Listening to other people’s points of view,6
62,4d,Knowing how to do research,10
62,5a,Help to protect the environment.,5
62,5b,Spend more time outside.,9
62,5c,Make a positive difference in my community.,6
62,5d,Listen more to other people's points of view.,4
62,5e,Talk with others about ways to protect the environment.,2
62,5f,Cooperate more with my classmates.,6
62,5g,Work harder in school.,10
62,5h,Pay more attention in class.,10
62,6,Are you a girl or a boy?,Boy
62,7,Which of the following best describes your racial or ethnic background?,Mixed (two or more races)
63,1a,Your school’s name ,Van Sickle Academy
63,1b,Your grade level,6
63,2a,I believe in myself.,10
63,2b,I feel it is important to take good care of the environment.,7
63,2c,"Humans are a part of nature, not separate from it.",5
63,2d,I have the power to protect the environment.,9
63,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,9
63,2f,I can make a difference in my community.,8
63,3a,Science.,5
63,3b,How to research things I am curious about.,7
63,3c,Learning about new subjects in school.,2
63,3d,Learning more about nature.,3
63,4a,Solving problems,6
63,4b,Using science to answer a question,6
63,4c,Listening to other people’s points of view,5
63,4d,Knowing how to do research,6
63,5a,Help to protect the environment.,7
63,5b,Spend more time outside.,5
63,5c,Make a positive difference in my community.,6
63,5d,Listen more to other people's points of view.,6
63,5e,Talk with others about ways to protect the environment.,1
63,5f,Cooperate more with my classmates.,4
63,5g,Work harder in school.,6
63,5h,Pay more attention in class.,6
63,6,Are you a girl or a boy?,Boy
63,7,Which of the following best describes your racial or ethnic background?,Hispanic
64,1a,Your school’s name ,Van Sickle Academy
64,1b,Your grade level,6
64,2a,I believe in myself.,8
64,2b,I feel it is important to take good care of the environment.,10
64,2c,"Humans are a part of nature, not separate from it.",8
64,2d,I have the power to protect the environment.,8
64,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,5
64,2f,I can make a difference in my community.,3
64,3a,Science.,1
64,3b,How to research things I am curious about.,1
64,3c,Learning about new subjects in school.,5
64,3d,Learning more about nature.,3
64,4a,Solving problems,3
64,4b,Using science to answer a question,5
64,4c,Listening to other people’s points of view,5
64,4d,Knowing how to do research,5
64,5a,Help to protect the environment.,5
64,5b,Spend more time outside.,8
64,5c,Make a positive difference in my community.,0
64,5d,Listen more to other people's points of view.,3
64,5e,Talk with others about ways to protect the environment.,4
64,5f,Cooperate more with my classmates.,1
64,5g,Work harder in school.,5
64,5h,Pay more attention in class.,3
64,6,Are you a girl or a boy?,Girl
64,7,Which of the following best describes your racial or ethnic background?,Mixed (two or more races)
65,1a,Your school’s name ,Van Sickle Academy
65,1b,Your grade level,6
65,2a,I believe in myself.,10
65,2b,I feel it is important to take good care of the environment.,4
65,2c,"Humans are a part of nature, not separate from it.",2
65,2d,I have the power to protect the environment.,2
65,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,10
65,2f,I can make a difference in my community.,6
65,3a,Science.,5
65,3b,How to research things I am curious about.,2
65,3c,Learning about new subjects in school.,1
65,3d,Learning more about nature.,1
65,4a,Solving problems,4
65,4b,Using science to answer a question,2
65,4c,Listening to other people’s points of view,5
65,4d,Knowing how to do research,8
65,5a,Help to protect the environment.,3
65,5b,Spend more time outside.,6
65,5c,Make a positive difference in my community.,4
65,5d,Listen more to other people's points of view.,4
65,5e,Talk with others about ways to protect the environment.,3
65,5f,Cooperate more with my classmates.,7
65,5g,Work harder in school.,7
65,5h,Pay more attention in class.,7
65,6,Are you a girl or a boy?,Boy
65,7,Which of the following best describes your racial or ethnic background?,"Black, not of Hispanic descent"
66,1a,Your school’s name ,Van Sickle Academy
66,1b,Your grade level,6
66,2a,I believe in myself.,8
66,2b,I feel it is important to take good care of the environment.,5
66,2c,"Humans are a part of nature, not separate from it.",2
66,2d,I have the power to protect the environment.,0
66,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,6
66,2f,I can make a difference in my community.,4
66,3a,Science.,4
66,3b,How to research things I am curious about.,6
66,3c,Learning about new subjects in school.,0
66,3d,Learning more about nature.,4
66,4a,Solving problems,6
66,4b,Using science to answer a question,2
66,4c,Listening to other people’s points of view,9
66,4d,Knowing how to do research,8
66,5a,Help to protect the environment.,6
66,5b,Spend more time outside.,8
66,5c,Make a positive difference in my community.,7
66,5d,Listen more to other people's points of view.,8
66,5e,Talk with others about ways to protect the environment.,5
66,5f,Cooperate more with my classmates.,5
66,5g,Work harder in school.,5
66,5h,Pay more attention in class.,7
66,6,Are you a girl or a boy?,Boy
66,7,Which of the following best describes your racial or ethnic background?,Hispanic
67,1a,Your school’s name ,Van Sickle Academy
67,1b,Your grade level,6
67,2a,I believe in myself.,10
67,2b,I feel it is important to take good care of the environment.,10
67,2c,"Humans are a part of nature, not separate from it.",10
67,2d,I have the power to protect the environment.,8
67,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,5
67,2f,I can make a difference in my community.,6
67,3a,Science.,8
67,3b,How to research things I am curious about.,1
67,3c,Learning about new subjects in school.,1
67,3d,Learning more about nature.,7
67,4a,Solving problems,10
67,4b,Using science to answer a question,5
67,4c,Listening to other people’s points of view,4
67,4d,Knowing how to do research,10
67,5a,Help to protect the environment.,10
67,5b,Spend more time outside.,10
67,5c,Make a positive difference in my community.,10
